# Strings exported from IDA
# Format: address | length | type | string
#================================================================================

0x14000c218 | 20 | ASCII | GetFileVersionInfoW
0x14000c234 | 7 | ASCII | err=%s
0x14000c240 | 23 | ASCII | RtlQueryElevationFlags
0x14000c268 | 14 | ASCII | IsThemeActive
0x14000c290 | 13 | ASCII | kernel32.dll
0x14000c2a0 | 17 | ASCII | SetDllDirectoryA
0x14000c2b8 | 25 | ASCII | SetDefaultDllDirectories
0x14000c2d8 | 11 | ASCII |  res=%I64i
0x14000c2e8 | 21 | ASCII | GetDeviceEnumAge(%S)
0x14000c300 | 25 | ASCII | CM_Get_DevNode_PropertyW
0x14000c320 | 25 | ASCII | GetDeviceAgeProperty(%u)
0x14000c4c0 | 22 | ASCII |  OpenClipboard err=%u
0x14000c4d8 | 25 | ASCII |  SetClipboardData err=%u
0x14000c4f8 | 34 | ASCII | TextBufferToClipboard  textlen=%i
0x14000c520 | 15 | ASCII | SetWindowTheme
0x14000c530 | 12 | ASCII | UxTheme.dll
0x14000c558 | 17 | ASCII | GetDpiForMonitor
0x14000c570 | 11 | ASCII | Shcore.dll
0x14000c580 | 16 | ASCII | GetDpiForWindow
0x14000c670 | 24 | ASCII | CreateProcessWithTokenW
0x14000c688 | 9 | ASCII | AdvApi32
0x14000c700 | 13 | ASCII | WINTRUST.dll
0x14000c710 | 13 | ASCII | COMCTL32.dll
0x14000c720 | 12 | ASCII | SHLWAPI.dll
0x14000c730 | 13 | ASCII | SETUPAPI.dll
0x14000c740 | 12 | ASCII | SHELL32.dll
0x14000c750 | 11 | ASCII | USER32.dll
0x14000c760 | 10 | ASCII | GDI32.dll
0x14000c770 | 13 | ASCII | ADVAPI32.dll
0x14000c780 | 10 | ASCII | ole32.dll
0x14000c7a4 | 65 | ASCII | u:\1Source\VC\DeviceCleanupGui1310\Release_x64\DeviceCleanup.pdb
0x14000d272 | 15 | ASCII | WinVerifyTrust
0x14000d284 | 10 | ASCII | StrToIntW
0x14000d290 | 9 | ASCII | StrCmpNW
0x14000d29c | 13 | ASCII | PathGetArgsW
0x14000d2ac | 21 | ASCII | PathRenameExtensionA
0x14000d2c4 | 10 | ASCII | StrToIntA
0x14000d2d0 | 9 | ASCII | StrStrIW
0x14000d2dc | 18 | ASCII | PathFindFileNameW
0x14000d2f0 | 21 | ASCII | PathRenameExtensionW
0x14000d308 | 29 | ASCII | SetupDiDestroyDeviceInfoList
